participant,backend,extracted_frame,judge_verdict,tacit_mechanism,judge_rationale,report_EN,human_verdict 1 (EXPLICIT/TACIT/WEAK/UNWARR),human_note,human_verdict 2 (EXPLICIT/TACIT/WEAK/UNWARR),human_note
1,Claude,avoidance,EXPLICIT,stated,'moved away'.,I moved away because I was a woman; if I had been a man I would have answered back.,EXPLICIT,,EXPLICIT,
1,Claude,gender_conflict,EXPLICIT,stated,gendered framing stated.,I moved away because I was a woman; if I had been a man I would have answered back.,EXPLICIT,,EXPLICIT,
1,Claude,appraisal,EXPLICIT,stated,gendered counterfactual reasoning stated.,I moved away because I was a woman; if I had been a man I would have answered back.,EXPLICIT,,EXPLICIT,
1,Claude,fear,TACIT,ToM/IMPACT,withholding the response she'd give 'as a man' because she is a woman implies felt vulnerability/threat -> fear.,I moved away because I was a woman; if I had been a man I would have answered back.,TACIT,,TACIT,
1,Gemini,Avoidance,EXPLICIT,stated,'moved away'.,I moved away because I was a woman; if I had been a man I would have answered back.,EXPLICIT,,EXPLICIT,
2,Claude,fear,EXPLICIT,stated,"'unsafe','danger','vulnerability'.","I felt unsafe; I felt the need to move to a place where I could be alone, but then I reflected that this would only put me in greater danger and in a condition of vulnerability, and I decided to keep moving forward, but the sensation was still physically and perceptually unpleasant.",EXPLICIT,,EXPLICIT,
2,Claude,avoidance,EXPLICIT,stated,'need to move'.,"I felt unsafe; I felt the need to move to a place where I could be alone, but then I reflected that this would only put me in greater danger and in a condition of vulnerability, and I decided to keep moving forward, but the sensation was still physically and perceptually unpleasant.",EXPLICIT,,EXPLICIT,
2,Claude,appraisal,EXPLICIT,stated,'reflected... decided'.,"I felt unsafe; I felt the need to move to a place where I could be alone, but then I reflected that this would only put me in greater danger and in a condition of vulnerability, and I decided to keep moving forward, but the sensation was still physically and perceptually unpleasant.",EXPLICIT,,EXPLICIT,
2,Claude,embodied,EXPLICIT,stated,'physically and perceptually unpleasant'.,"I felt unsafe; I felt the need to move to a place where I could be alone, but then I reflected that this would only put me in greater danger and in a condition of vulnerability, and I decided to keep moving forward, but the sensation was still physically and perceptually unpleasant.",EXPLICIT,,EXPLICIT,
2,Gemini,Avoidance,EXPLICIT,stated,'need to move'.,"I felt unsafe; I felt the need to move to a place where I could be alone, but then I reflected that this would only put me in greater danger and in a condition of vulnerability, and I decided to keep moving forward, but the sensation was still physically and perceptually unpleasant.",EXPLICIT,,EXPLICIT,
2,Gemini,Fear,EXPLICIT,stated,'unsafe'.,"I felt unsafe; I felt the need to move to a place where I could be alone, but then I reflected that this would only put me in greater danger and in a condition of vulnerability, and I decided to keep moving forward, but the sensation was still physically and perceptually unpleasant.",EXPLICIT,,EXPLICIT,
3,Claude,avoidance,EXPLICIT,stated,"'avoid them','silent'.","I stayed completely silent and tried to avoid them while waiting for the train. I tried not to meet their gaze, even though I found it difficult.",EXPLICIT,,EXPLICIT,
3,Claude,appraisal,TACIT,IMPLICATURE,deliberate silence + gaze-aversion is a coping strategy presupposing situational appraisal.,"I stayed completely silent and tried to avoid them while waiting for the train. I tried not to meet their gaze, even though I found it difficult.",TACIT,,TACIT,
3,Claude,embodied,WEAK,IMPACT?,'found it difficult' is mostly effortful-cognitive; somatic reading is strained.,"I stayed completely silent and tried to avoid them while waiting for the train. I tried not to meet their gaze, even though I found it difficult.",TACiT,"not overexerted: silent, meet gaze, difficult are all somatically grounded IMPACT",TACiT,looks like some bodily IMPACT
3,Claude,fear,TACIT,ToM,gaze-aversion + silence + avoidance in a harassment frame are fear-driven.,"I stayed completely silent and tried to avoid them while waiting for the train. I tried not to meet their gaze, even though I found it difficult.",TACIT,ToM/IMPACT,TACIT,
3,Gemini,Vigilance,EXPLICIT,stated,'tried not to meet their gaze' = gaze management.,"I stayed completely silent and tried to avoid them while waiting for the train. I tried not to meet their gaze, even though I found it difficult.",EXPLICIT,,EXPLICIT,
4,Claude,appraisal,EXPLICIT,stated,'aware that I was in a situation that could happen'.,"Initially with a 'hysterical' laugh, aware that I was in a situation that could happen; later trying to avoid the voices with indifference, voices that were becoming more and more insistent.",EXPLICIT,,EXPLICIT,
4,Claude,avoidance,EXPLICIT,stated,'avoid the voices'.,"Initially with a 'hysterical' laugh, aware that I was in a situation that could happen; later trying to avoid the voices with indifference, voices that were becoming more and more insistent.",EXPLICIT,,EXPLICIT,
4,Claude,embodied,EXPLICIT,stated,'hysterical laugh' = bodily-affective discharge.,"Initially with a 'hysterical' laugh, aware that I was in a situation that could happen; later trying to avoid the voices with indifference, voices that were becoming more and more insistent.",EXPLICIT,,EXPLICIT,
4,Claude,fear,TACIT,IMPACT,a 'hysterical' (nervous) laugh + escalating insistent voices implies anxiety/fear.,"Initially with a 'hysterical' laugh, aware that I was in a situation that could happen; later trying to avoid the voices with indifference, voices that were becoming more and more insistent.",TACIT,,TACIT,
4,Gemini,Vigilance,TACIT,IMPLICATURE,'voices more and more insistent' implies tracking; not stated as monitoring.,"Initially with a 'hysterical' laugh, aware that I was in a situation that could happen; later trying to avoid the voices with indifference, voices that were becoming more and more insistent.",TACIT,,TACIT,
